measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2015,2.0225034083982925,3.521571475365162,0.5937433086250752
1,Deaths,67,Japan,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2015,6562.904817698272,7181.206874633515,5852.856346184894
1,Deaths,18,Kingdom of Thailand,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2015,4913.207154702834,6614.367581929038,3368.553816990642
1,Deaths,51,Republic of Poland,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2015,398.7339078073328,440.9613852161087,360.1990783060935
1,Deaths,181,Republic of Madagascar,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2015,213.70014760300663,324.7896810465199,143.95485931783873
1,Deaths,116,Saint Lucia,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2015,12.19517575950511,14.696615085232487,9.917545506055028
1,Deaths,148,Kingdom of Morocco,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2015,202.75880653633916,330.86925509874357,108.91928487847055
1,Deaths,99,Eastern Republic of Uruguay,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2015,31.743052394173215,41.177490727175645,23.458153240615243
1,Deaths,198,Republic of Zimbabwe,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2015,142.6267431382456,217.65402299630702,91.42400334375853
1,Deaths,18,Kingdom of Thailand,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2015,15.901877957355426,27.71643725778617,2.534215283804761
1,Deaths,18,Kingdom of Thailand,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2015,1360.0918574052523,1608.7208477295198,1006.7422395000665
1,Deaths,83,Republic of Iceland,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2015,1.1475829935639779,1.277593242073254,1.0178573861265527
1,Deaths,34,Republic of Azerbaijan,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2015,227.66477466972813,336.8795284935527,150.17932073397688
